+===================+===================+============================================================================================================================================================================================+
| Launch Clock      | Capture Clock     | Pin                                                                                                                                                                                        |
+===================+===================+============================================================================================================================================================================================+
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[25]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[26]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[11].unit/stage2_inst/exe1h/ex2d_r/q_reg[29]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[9].unit/stage2_inst/exe1l/ex2d_r/q_reg[15]/D                                                                                                            |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[11]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[14]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[12]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[10]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[18].unit/stage2_inst/exe1h/ex2d_r/q_reg[29]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[11].unit/stage2_inst/exe1l/ex2d_r/q_reg[25]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1h/ex2d_r/q_reg[30]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1l/ex2d_r/q_reg[15]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[15].unit/stage2_inst/exe1h/ex2d_r/q_reg[9]/D                                                                                                            |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[9].unit/stage3_inst/fpu2l/ex2_d_frac_r/q_reg[2]/D                                                                                                       |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[9].unit/stage2_inst/exe1l/ex2d_r/q_reg[9]/D                                                                                                             |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[16].unit/stage2_inst/exe1l/ex2d_r/q_reg[27]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[25].unit/stage2_inst/exe1l/ex2d_r/q_reg[28]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1h/ex2d_r/q_reg[15]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[16].unit/stage2_inst/exe1l/ex2d_r/q_reg[26]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[13].unit/stage2_inst/exe1h/ex2d_r/q_reg[14]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[22].unit/stage2_inst/exe1l/ex2d_r/q_reg[29]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[18].unit/stage2_inst/exe1h/ex2d_r/q_reg[31]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[14].unit/stage2_inst/exe1l/ex2d_r/q_reg[25]/D                                                                                                           |
| clkout2_primitive | clkout2_primitive | design_1_i/emax6_0/inst/EMAX6_UNIT[25].unit/stage2_inst/exe1h/ex2d_r/q_reg[28]/D                                                                                                           |
